x,y
9.054740475136459, 519.9844506377028
12.95706543937527, 520.2154478026961
14.908227921494678, 520.3309463851928
16.85918319361523, 520.4619396709368
18.809784989855395, 520.6193650975147
20.671309645354317, 520.8005496559412
22.354883979016673, 521.014000828986
23.860848668458228, 521.2342435016044
25.277959374201423, 521.4615581183093
26.606358952159322, 521.6852622313787
27.846226969820435, 521.8919281830616
29.174607393912897, 522.1170645796246
30.503078798866202, 522.3353976295937
31.831528655720884, 522.5553419984928
33.15996893564284, 522.7760025091387
34.39972203011131, 522.9912621617823
35.63947512457978, 523.206521814426
36.87922821904826, 523.4217814670696
38.1190196212476, 523.6341765527263
39.358791869581516, 523.8480039218765
40.59867904110806, 524.0532375900659
41.92709537869823, 524.2756884550787
43.34418932480916, 524.5042563198404
44.761383828713655, 524.7253046962614
46.1786788904117, 524.9388335843419
47.68469199656868, 525.1554557625739
49.27927044831288, 525.3865897132528
50.87387869495887, 525.6154956673862
52.468561428859346, 525.8388316301563
54.063303752563414, 526.0577115998356
55.74680657846147, 526.2765099645893
57.519077355278945, 526.4946697252813
59.38006448366319, 526.7160493668378
61.33003246108335, 526.92087035629
63.28018327085543, 527.1120195487592
65.23060223474366, 527.2831167723201
67.1811796533369, 527.4423651051624
69.13191552663514, 527.589764547286
71.08274891052108, 527.729872364352
73.03377731558241, 527.8553969313028
74.98489104240795, 527.9745413263283
76.9361997904089, 528.0791024712386
78.88754510488025, 528.1809292567523
80.83904887405659, 528.2709071515474
84.74238551064272, 528.4262537065681
86.69412086746483, 528.4989139918514
88.64601467899196, 528.5597253864161
90.59803037875368, 528.6114222496587
92.5501801555735, 528.6530931284473
94.50232993239331, 528.6947640072357
96.45458940862429, 528.7282318078344
98.40683669603177, 528.7626110615653
100.42716418808432, 528.8116665963461
102.43430393571228, 528.8257598140868
104.26347251549021, 528.8736784650081
106.21661811918682, 528.840883622896
108.16884277020793, 528.8769555753008
109.99863805642643, 528.8780105112743
112.07348099901373, 528.9349719565618
114.02635078704803, 528.9228019967553
115.97881756034087, 528.940768583727
117.93148527509479, 528.9437092147766
119.88409213279442, 528.9512006011075
123.78957400230983, 528.9461314048611
125.74188223383466, 528.975953392931
127.6951046271191, 528.937416396086
129.64727878158584, 528.9772643686101
131.6004564825176, 528.942069366583
133.55292824742386, 528.9596626917959
135.5058611561511, 528.9427727068406
137.45844973061554, 528.9516312728699
139.4112298437344, 528.9461670039647
141.36398557920631, 528.9425256413238
143.31663683904853, 528.9466967341017
145.18104449954825, 528.9122965852449
82.81334057567649, 528.3752311863676
121.68071591460019, 528.9592752868506
11.070758740191414, 520.126072884308
