T,H
0.5158577635599677, 0
9.286388703208555, 0
13.61543282085562, 0.2940812717823711
15.77995487967915, 0.42912769519401195
17.944476938502678, 0.5883615377241576
20.108998997326207, 0.7919389819715548
22.076746323529417, 1.0239590394416425
23.749331550802143, 1.263845607064848
25.22514204545455, 1.4994209911877654
26.602565173796794, 1.7322249002033594
28.0783756684492, 1.9802719223092566
29.55418616310161, 2.220004519093166
31.029996657754015, 2.4611228534307443
32.50580715240642, 2.7077841379829763
33.88323028074866, 2.940588046998567
35.26065340909092, 3.1749756560754925
36.638076537433165, 3.4156980653977307
38.01549966577541, 3.650085674474653
39.39292279411765, 3.8828895834902433
40.86873328877006, 4.1309366055961405
42.44293114973263, 4.3872980530240255
44.0171290106952, 4.635345075129923
45.59132687165777, 4.872306196806505
47.16552473262033, 5.100952893161104
48.83810995989306, 5.343764906730936
50.60908255347594, 5.595045316462048
52.38005514705884, 5.841398659335692
54.15102774064172, 6.0791296352087585
56.02038770053477, 6.31957049785343
57.98813502673798, 6.5645688973412675
60.05426971925135, 6.793442350750098
62.21879177807487, 7.013144741076502
64.38331383689841, 7.210675330544273
66.54783589572195, 7.39107316480311
68.71235795454547, 7.55736167124282
70.876880013369, 7.709540849863398
73.04140207219253, 7.849626318924727
75.20592413101606, 7.9786258875567455
77.37044618983958, 8.093516128369632
79.53496824866312, 8.199336087013084
81.69949030748664, 8.296085763487095
83.86401236631018, 8.380741730401855
86.02853442513371, 8.459350842536988
88.19305648395724, 8.527881863372748
90.35757854278077, 8.586334792909131
92.5221006016043, 8.636725249406012
94.68662266042783, 8.677037614603517
96.85114471925135, 8.714326552411208
101.14739304812836, 8.777499388039466
103.46898967421899, 8.826617706520576
107.673755013369, 8.883422527141455
112.00279913101608, 8.902498914243846
116.33184324866312, 8.918875812605332
122.8254094251337, 8.913872760138858
127.15445354278077, 8.910849332749045
131.48349766042784, 8.910849332749045
135.8125417780749, 8.894436441204348
140.14158589572196, 8.890189245585326
145.7496657754011, 8.871544776681478
