T,H
0,0
1.4875342104877998, 0.0
1.6512506037144892, 0.03927860980740294
1.8178392143662077, 0.05727454633877671
1.9040057371170978, 0.07373728273968227
2.0938912224385007, 0.1026061635296287
2.306116176621247, 0.13261764346442417
2.5379451544986384, 0.1831487125603113
2.722587703250543, 0.21167631725545677
2.8805596616271743, 0.23605845821915739
2.988267815065784, 0.255287343188783
3.0528927071289527, 0.2679721786432059
3.139059229879841, 0.2835557205942959
3.2467673833184527, 0.3052073811867555
3.3401144496319155, 0.3254312491577166
3.406175450407595, 0.3399774853955365
3.569891843634286, 0.3679136694394477
3.6768021588992763, 0.3870604186877984
3.8571135861372507, 0.41692496694342407
4.038063283914116, 0.44806809459356534
4.171005919015489, 0.4653905182104835
4.302307287016843, 0.48650350536424736
4.445918158268325, 0.5090867219288356
4.6421863489786865, 0.538220262265113
4.833667510647327, 0.5679324031268169
4.928450685673305, 0.5857111363063745
5.184488353275945, 0.612043848547171
5.382261038827988, 0.6453411223806205
5.522999692654437, 0.6619686777955512
5.66661056390592, 0.6787380542225505
5.927982349583619, 0.705680213515208
6.2266929617867, 0.7353706340417305
6.399026007288477, 0.7526684169422662
6.758053185417182, 0.778491887711157
7.030913840794998, 0.8042003684702625
7.447385367424296, 0.8302373921144686
7.863856894053594, 0.855699465709749
8.107995375181112, 0.8688165403973822
8.668077773061892, 0.8950499430842732
9.29996560656841, 0.9161662903357257
9.931853440074931, 0.9359759329305288
10.56374127358145, 0.9503496841536709
11.28179562983886, 0.9623713669948444
11.899322376220233, 0.971847589164865
12.894340555605499, 0.9805457620478979
13.547257123830985, 0.9843958739826681
14.179144957337506, 0.9880611805445694
14.851551572375694, 0.9916340844200361
15.8039423979133, 0.9952480561561403
16.45896753845478, 0.9952480561561403
18.1304385121873, 0.998761639788464
18.781474461860686, 0.9988255231272336
19.11018378939186, 0.9988255231272336
19.808691110395593, 0.9984102814252316
1.1894273127753294, 0.0017636684303352634
2.422907488986782, 0.15520282186948853
17.00440528634361, 0.9964726631393299
17.621145374449334, 0.9964726631393299
20, 1
